Date,y,Precio
28-nov,2018,48.43
29-nov,2018,49.799999
30-nov,2018,50.34
03-dic,2018,51.380001
04-dic,2018,51.139999
05-dic,2018,50.330002
06-dic,2018,49.93
07-dic,2018,49.75
10-dic,2018,49.98
11-dic,2018,50.290001
13-dic,2018,50
14-dic,2018,48.43
17-dic,2018,47.220001
18-dic,2018,47.439999
19-dic,2018,48.32
20-dic,2018,49.720001
21-dic,2018,49.689999
24-dic,2018,49.66
26-dic,2018,49.709999
27-dic,2018,49.459999
28-dic,2018,49.400002
31-dic,2018,49.970001
02-ene,2019,49.720001
03-ene,2019,48.75
04-ene,2019,49.66
07-ene,2019,49.84
08-ene,2019,50.52
09-ene,2019,49.880001
10-ene,2019,48.919998
11-ene,2019,48.110001
14-ene,2019,49.419998
15-ene,2019,49.759998
16-ene,2019,49.310001
17-ene,2019,49.5
18-ene,2019,49.369999
21-ene,2019,48.48
22-ene,2019,48.560001
23-ene,2019,48.959999
24-ene,2019,48.279999
25-ene,2019,47.759998
28-ene,2019,48.52
29-ene,2019,50.040001
30-ene,2019,49.860001
31-ene,2019,50.200001
01-feb,2019,49.619999
05-feb,2019,50.369999
06-feb,2019,49.279999
07-feb,2019,49.59
08-feb,2019,49.400002
11-feb,2019,49.599998
12-feb,2019,48.540001
13-feb,2019,48.490002
14-feb,2019,51.470001
15-feb,2019,52.48
18-feb,2019,52.349998
19-feb,2019,52.709999
20-feb,2019,52.689999
21-feb,2019,52.700001
22-feb,2019,53
25-feb,2019,52.880001
26-feb,2019,52.450001
27-feb,2019,52.259998
28-feb,2019,49.849998
01-mar,2019,49.720001
04-mar,2019,49.59
05-mar,2019,49.720001
06-mar,2019,50.240002
07-mar,2019,50.549999
08-mar,2019,50.669998
11-mar,2019,50.400002
12-mar,2019,50.27
13-mar,2019,52
14-mar,2019,50.709999
15-mar,2019,51.07
19-mar,2019,51.130001
20-mar,2019,51.740002
21-mar,2019,52.07
22-mar,2019,50.639999
25-mar,2019,51.220001
26-mar,2019,50.919998
27-mar,2019,51
28-mar,2019,51.970001
29-mar,2019,51.919998
01-abr,2019,52.43
02-abr,2019,51.759998
03-abr,2019,51.860001
04-abr,2019,52.459999
05-abr,2019,55.150002
08-abr,2019,56.419998
09-abr,2019,55.549999
10-abr,2019,54.529999
11-abr,2019,54.119999
12-abr,2019,54.240002
15-abr,2019,54.68
16-abr,2019,55.48
17-abr,2019,55.459999
22-abr,2019,56.439999
23-abr,2019,55.529999
24-abr,2019,55.57
25-abr,2019,55.75
26-abr,2019,55.849998
29-abr,2019,56.869999
30-abr,2019,55.709999
02-may,2019,55.970001
03-may,2019,55.389999
06-may,2019,55.490002
07-may,2019,54.200001
08-may,2019,54.43
09-may,2019,53.59
10-may,2019,54.18
13-may,2019,53.509998
14-may,2019,53.52
15-may,2019,53.400002
16-may,2019,54.380001
17-may,2019,53.580002
20-may,2019,55.66
21-may,2019,54.75
22-may,2019,54.139999
23-may,2019,54.970001
24-may,2019,54.830002
27-may,2019,55
28-may,2019,54.830002
29-may,2019,54.740002
30-may,2019,55.610001
31-may,2019,55.310001
03-jun,2019,54.799999
04-jun,2019,54.669998
05-jun,2019,54.360001
06-jun,2019,54.52
07-jun,2019,53.91
10-jun,2019,54.950001
11-jun,2019,54.580002
12-jun,2019,56.099998
13-jun,2019,54.650002
14-jun,2019,54.150002
17-jun,2019,53.599998
